,Team,Opponent,Date,Competition,Result,Appearance,Goals,Assists,Shots,Shots on Goal,Fouls Committed,Fouls Suffered,Yellow Cards,Red Cards
52,Chile,A - Portugal,2011-03-26,Int,D 1-1,Started,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Chile,H - Mexico,2011-07-04,Copa Am,W 2-1,Started,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0
50,Chile,A - Uruguay,2011-07-08,Copa Am,D 1-1,Started,1.0,0.0,2.0,1.0,4.0,6.0,1.0,0.0
49,Chile,H - Peru,2011-07-12,Copa Am,W 1-0,Sub-On 57 min,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
48,Chile,H - Venezuela,2011-07-17,Copa Am,L 1-2,Started,0.0,0.0,3.0,3.0,4.0,4.0,0.0,0.0
47,Chile,A - France,2011-08-10,Int,D 1-1,Sub-On 45 min,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0
46,Barcelona,A - Real Madrid,2011-08-14,Sup Cup,D 2-2,Started,0.0,0.0,1.0,0.0,9.0,3.0,1.0,0.0
45,Barcelona,H - Real Madrid,2011-08-17,Sup Cup,W 3-2,Unused Substitute,,,,,,,,
44,Barcelona,H - FC Porto,2011-08-26,Super C,W 2-0,Sub-On 59 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Barcelona,H - Villarreal,2011-08-29,La Liga,W 5-0,Started,1.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0
42,Chile,A - Spain,2011-09-02,Int,L 3-2,Started,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
41,Chile,A - Mexico,2011-09-04,Int,L 1-0,Sub-On 39 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Barcelona,A - R Sociedad,2011-09-10,La Liga,D 2-2,Sub-Off 31 min,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
39,Barcelona,A - Plzen,2011-11-01,UCL,W 0-4,Sub-On 72 min,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
38,Barcelona,A - Athletic,2011-11-06,La Liga,D 2-2,Sub-On 60 min,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
61,Chile,H - Paraguay,2011-11-15,WCQ,W 2-0,Started,0.0,0.0,2.0,1.0,3.0,5.0,1.0,0.0
72,Chile,H - Paraguay,2011-11-15,WCQ,W 2-0,Started,0.0,0.0,2.0,1.0,3.0,5.0,1.0,0.0
37,Chile,H - Paraguay,2011-11-15,WCQ,W 2-0,Started,0.0,0.0,2.0,1.0,3.0,5.0,1.0,0.0
36,Barcelona,H - R Zaragoza,2011-11-19,La Liga,W 4-0,Sub-Off 55 min,0.0,0.0,4.0,2.0,0.0,4.0,0.0,0.0
35,Barcelona,A - Milan,2011-11-23,UCL,W 2-3,Sub-On 67 min,0.0,0.0,3.0,1.0,2.0,3.0,0.0,0.0
34,Barcelona,A - Getafe,2011-11-26,La Liga,L 1-0,Sub-Off 71 min,0.0,0.0,4.0,1.0,0.0,4.0,0.0,0.0
33,Barcelona,H - Rayo,2011-11-29,La Liga,W 4-0,Sub-Off 70 min,2.0,0.0,2.0,2.0,1.0,3.0,0.0,0.0
32,Barcelona,H - Levante,2011-12-03,La Liga,W 5-0,Started,1.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0
31,Barcelona,A - Real Madrid,2011-12-10,La Liga,W 1-3,Sub-Off 83 min,1.0,0.0,4.0,2.0,3.0,5.0,1.0,0.0
30,Barcelona,A - Al-Sadd,2011-12-15,CWC,W 0-4,Sub-On 37; Sub-Off 70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
